"id"	"auteur"	"année"
"GileBlas1"	"Lesage"	1715
"GileBlas2"	"Lesage"	1715
"GileBlas3"	"Lesage"	1715
"GileBlas4"	"Lesage"	1715
"GileBlas5"	"Lesage"	1715
"GileBlas6"	"Lesage"	1715
"GileBlas7"	"Lesage"	1715
"GileBlas8"	"Lesage"	1715
"GileBlas9"	"Lesage"	1715
"GileBlas10"	"Lesage"	1715
"GileBlas11"	"Lesage"	1715
"GileBlas12"	"Lesage"	1715
"LettresPersannes1"	"Montesquieu"	1721
"LettresPersannes2"	"Montesquieu"	1721
"LettresPersannes3"	"Montesquieu"	1721
"LettresPersannes4"	"Montesquieu"	1721
"Marianne1"	"Marivaux"	1731
"Cleveland1_1"	"Prevost"	1731
"Cleveland1_2"	"Prevost"	1731
"Cleveland1_3"	"Prevost"	1731
"Cleveland2_1"	"Prevost"	1731
"Cleveland2_2"	"Prevost"	1731
"Cleveland2_3"	"Prevost"	1731
"Cleveland3_1"	"Prevost"	1731
"Cleveland3_2"	"Prevost"	1731
"Cleveland3_3"	"Prevost"	1731
"ManonLescaut1"	"Prevost"	1731
"ManonLescaut2"	"Prevost"	1731
"Sethos1_1"	"Terrasson"	1731
"Sethos1_2"	"Terrasson"	1731
"Sethos1_3"	"Terrasson"	1731
"Sethos2_1"	"Terrasson"	1731
"Sethos2_2"	"Terrasson"	1731
"Sethos2_3"	"Terrasson"	1731
"Sethos2_4"	"Terrasson"	1731
"Marquise1"	"Crebillon"	1732
"Marquise2"	"Crebillon"	1732
"Marianne2"	"Marivaux"	1734
"Marianne3"	"Marivaux"	1734
"Paysanne1_1"	"Mouhy"	1735
"Paysanne1_2"	"Mouhy"	1735
"Paysanne1_3"	"Mouhy"	1735
"Paysanne2_1"	"Mouhy"	1735
"Paysanne2_2"	"Mouhy"	1735
"Paysanne2_3"	"Mouhy"	1735
"Egrements1"	"Crebillon"	1736
"Egrements2"	"Crebillon"	1736
"Marianne4-5"	"Marivaux"	1736
"Marianne5-6"	"Marivaux"	1736
"Marianne7-8"	"Marivaux"	1737
"Cleveland4_1"	"Prevost"	1738
"Cleveland4_2"	"Prevost"	1738
"Cleveland5_1"	"Prevost"	1739
"Cleveland5_2"	"Prevost"	1739
"Cleveland6_1"	"Prevost"	1739
"Cleveland6_2"	"Prevost"	1739
"MmeLuz"	"Duclos"	1740
"Grecque1"	"Prevost"	1740
"Grecque2"	"Prevost"	1740
"Confessions"	"Duclos"	1741
"Marianne9"	"Marivaux"	1742
"Marianne10"	"Marivaux"	1742
"Marianne11"	"Marivaux"	1742
"candide"	"Voltaire"	1759
