Unité	F	f_1715_Lesage_GilBlas1	score_1715_Lesage_GilBlas1	f_1715_Lesage_GilBlas10	score_1715_Lesage_GilBlas10	f_1715_Lesage_GilBlas12	score_1715_Lesage_GilBlas12	f_1715_Lesage_GilBlas2	score_1715_Lesage_GilBlas2	f_1715_Lesage_GilBlas3	score_1715_Lesage_GilBlas3	f_1715_Lesage_GilBlas4	score_1715_Lesage_GilBlas4	f_1715_Lesage_GilBlas5	score_1715_Lesage_GilBlas5	f_1715_Lesage_GilBlas7	score_1715_Lesage_GilBlas7	f_1715_Lesage_GilBlas9	score_1715_Lesage_GilBlas9	f_1721_Montesquieu_LettresPersanes1	score_1721_Montesquieu_LettresPersanes1	f_1721_Montesquieu_LettresPersanes2	score_1721_Montesquieu_LettresPersanes2	f_1721_Montesquieu_LettresPersanes3	score_1721_Montesquieu_LettresPersanes3	f_1731_Prevost_Cleveland1_1	score_1731_Prevost_Cleveland1_1	f_1731_Prevost_Cleveland1_2	score_1731_Prevost_Cleveland1_2	f_1731_Prevost_Cleveland1_3	score_1731_Prevost_Cleveland1_3	f_1731_Prevost_Cleveland2_1	score_1731_Prevost_Cleveland2_1	f_1731_Prevost_Cleveland2_2	score_1731_Prevost_Cleveland2_2	f_1731_Prevost_Cleveland2_3	score_1731_Prevost_Cleveland2_3	f_1731_Prevost_Cleveland3_1	score_1731_Prevost_Cleveland3_1	f_1731_Prevost_Cleveland3_2	score_1731_Prevost_Cleveland3_2	f_1731_Prevost_Cleveland3_3	score_1731_Prevost_Cleveland3_3	f_1731_Prevost_ManonLescaut1	score_1731_Prevost_ManonLescaut1	f_1731_Prevost_ManonLescaut2	score_1731_Prevost_ManonLescaut2	f_1731_Terrasson_Sethos1_1	score_1731_Terrasson_Sethos1_1	f_1731_Terrasson_Sethos1_2	score_1731_Terrasson_Sethos1_2	f_1731_Terrasson_Sethos1_3	score_1731_Terrasson_Sethos1_3	f_1731_Terrasson_Sethos2_1	score_1731_Terrasson_Sethos2_1	f_1731_Terrasson_Sethos2_2	score_1731_Terrasson_Sethos2_2	f_1731_Terrasson_Sethos2_3	score_1731_Terrasson_Sethos2_3	f_1731_Terrasson_Sethos2_4	score_1731_Terrasson_Sethos2_4	f_1732_Crebillon_Marquise1	score_1732_Crebillon_Marquise1	f_1732_Crebillon_Marquise2	score_1732_Crebillon_Marquise2	f_1734_Marivaux_Cabinet	score_1734_Marivaux_Cabinet	f_1735_Marivaux_Marianne3	score_1735_Marivaux_Marianne3	f_1735_Mouhy_Paysanne1_1	score_1735_Mouhy_Paysanne1_1	f_1735_Mouhy_Paysanne1_2	score_1735_Mouhy_Paysanne1_2	f_1735_Mouhy_Paysanne1_3	score_1735_Mouhy_Paysanne1_3	f_1735_Mouhy_Paysanne2_1	score_1735_Mouhy_Paysanne2_1	f_1735_Mouhy_Paysanne2_2	score_1735_Mouhy_Paysanne2_2	f_1735_Mouhy_Paysanne2_3	score_1735_Mouhy_Paysanne2_3	f_1736_Crebillon_Egarements1	score_1736_Crebillon_Egarements1	f_1736_Crebillon_Egarements2	score_1736_Crebillon_Egarements2	f_1736_Marivaux_Marianne4-5	score_1736_Marivaux_Marianne4-5	f_1736_Marivaux_Marianne5-6	score_1736_Marivaux_Marianne5-6	f_1737_Marivaux_Marianne7-8	score_1737_Marivaux_Marianne7-8	f_1738_Prevost_Cleveland4_1	score_1738_Prevost_Cleveland4_1	f_1738_Prevost_Cleveland4_2	score_1738_Prevost_Cleveland4_2	f_1739_Prevost_Cleveland5_1	score_1739_Prevost_Cleveland5_1	f_1739_Prevost_Cleveland5_2	score_1739_Prevost_Cleveland5_2	f_1739_Prevost_Cleveland6_1	score_1739_Prevost_Cleveland6_1	f_1739_Prevost_Cleveland6_2	score_1739_Prevost_Cleveland6_2	f_1740_Duclos_MMeLuz	score_1740_Duclos_MMeLuz	f_1740_Prevost_Grecque1	score_1740_Prevost_Grecque1	f_1740_Prevost_Grecque2	score_1740_Prevost_Grecque2	f_1741_Duclos_Confessions	score_1741_Duclos_Confessions	f_1742_Marivaux_Marianne9	score_1742_Marivaux_Marianne9	f_1759_Voltaire_Candidefull	score_1759_Voltaire_Candidefull
NOM	303111	4692	-2.0632	5871	-0.5717	6116	-1.648	4381	0.3052	4224	-0.8896	5905	-1.0075	4169	-2.0378	5342	-2.7757	2927	-0.6592	4393	-2.0022	4335	0.3364	4691	1.585	6626	13.2905	4878	4.2937	5010	4.114	5454	7.4186	5027	8.6892	5036	8.3054	5689	10.1632	4666	5.0266	4768	-1.1887	4805	-5.4773	4995	-5.4778	7615	174.0112	5510	95.9036	5823	125.1582	6943	99.838	7907	118.7676	6752	67.0467	3968	61.0188	3618	-65.8813	3709	-48.1917	5804	-109.4752	2664	-84.4442	5944	-2.3313	5454	1.6337	6107	3.9482	6163	0.4377	5218	-2.1072	6576	-1.0019	4223	-150.6531	4033	-219.7851	3298	-79.8099	3689	-89.5845	4832	-142.7145	6092	7.2975	6950	8.1334	6742	10.8156	5763	20.9923	6291	17.2229	7253	23.3357	4760	-4.921	6493	-5.888	6872	-6.3392	6890	-4.4448	3210	-30.3947	5945	2.2122
PRO:PER	266714	4618	8.4966	5419	3.1403	5630	1.3927	3886	0.5355	4050	5.9577	5281	0.3207	4120	8.0755	5195	6.2778	2730	2.2053	3681	-7.3821	3212	-26.1202	3096	-59.2186	5285	-0.8381	4177	1.3338	4378	2.8889	4365	-1.5919	3938	-2.409	3889	-4.067	4243	-9.3943	3952	1.0434	4618	7.6979	4862	8.9673	5064	9.9448	2604	-1000.0	2422	-128.4691	2118	-220.9267	3134	-165.5718	3627	-171.8861	3429	-120.3961	1958	-60.1488	5508	113.6305	5078	64.144	7501	31.1932	4067	48.0115	6675	74.2953	5166	13.629	5296	1.9303	5850	10.4837	5491	30.7992	6629	25.4489	6426	61.5656	6752	75.9714	4739	46.6038	5482	72.0227	7514	112.7709	4824	-3.1453	5422	-5.7142	4999	-13.3617	4007	-16.0998	4672	-6.9288	5126	-17.448	3705	-32.869	6337	5.1108	6371	-0.3477	6702	6.5118	3830	15.1508	3564	-127.3065
PRP	228816	3477	-3.1406	4410	-0.7206	4812	1.0295	3071	-5.2713	2978	-6.4671	4373	-2.1495	3182	-1.0518	4186	0.3139	2184	-0.9646	3120	-8.0306	2972	-7.9275	3191	-5.9729	5101	14.6802	3972	16.6588	3915	7.8252	4250	11.3013	3995	17.0326	3968	14.4594	4573	23.2779	3456	2.1205	3898	4.3684	3977	1.8513	4254	5.0955	4905	27.3071	3634	16.3269	3843	25.7305	4958	41.8154	5433	31.6383	4935	33.8435	2667	12.5234	2828	-37.096	2885	-27.0356	4376	-80.7051	2179	-38.066	3763	-44.057	3476	-20.0942	4247	-2.4449	4354	-5.3124	3690	-9.8535	4477	-17.3381	3759	-35.6134	3838	-40.8974	2817	-21.8745	3000	-38.8255	4139	-42.5372	4578	4.8699	5415	12.9504	5407	25.1437	4524	27.4709	4969	26.4833	5649	28.2558	3436	-10.0612	5710	15.0301	6117	19.5896	5017	-9.292	2786	-2.1211	3690	-27.8615
PUN	153369	2720	7.9521	3499	20.8379	3556	12.2042	2611	17.2046	2407	6.9687	3327	7.6943	2298	2.3106	2691	-1.9001	1490	-0.4083	2663	14.6322	2515	12.2018	2692	15.4487	2556	-23.9027	1682	-50.4492	1772	-45.7206	1973	-38.1811	1824	-32.0973	1804	-35.5725	2407	-7.0147	1909	-12.5703	2036	-19.8531	2577	-0.3153	2744	1.0245	2280	-28.8319	1635	-31.4659	1612	-40.6557	1946	-64.8068	2340	-52.8742	2048	-54.3238	1233	-19.0769	2426	1.1293	2322	-0.3223	4729	52.6105	2727	82.4571	4074	68.5159	3518	57.1612	3723	45.472	4022	61.2213	3095	12.9412	4031	30.25	3311	6.9704	3540	13.394	2873	41.8733	3277	54.6247	4346	64.4526	2399	-22.6989	2716	-27.807	2649	-22.5676	2108	-24.4911	2313	-29.7774	2636	-34.5238	2694	2.9004	2548	-64.9834	2686	-70.7056	3274	-10.3663	2449	29.679	4036	93.7702
ADV	146285	2422	1.4481	2659	-4.2533	2797	-5.1116	2149	0.6679	2109	0.7022	2906	0.385	2013	-1.2103	2855	3.8129	1368	-1.3937	2135	-0.9455	2133	0.7944	2306	1.8746	2612	-10.1134	2012	-6.5732	2021	-9.5731	2269	-4.6341	2120	-2.5858	2163	-1.6647	2357	-4.0888	2039	-1.5853	2253	-1.6949	2367	-1.6102	2333	-5.7578	2165	-28.4734	1576	-27.9336	1613	-28.7349	1939	-48.9098	2298	-41.7384	2174	-24.7478	1121	-24.9701	3161	80.2123	2997	60.5183	4756	79.3817	2356	40.0793	2788	-3.3162	2144	-18.8078	2392	-17.6467	2696	-6.9621	2417	-3.9939	3119	-1.5085	4165	119.9985	4316	126.6321	2761	42.3991	3075	45.525	4223	71.2746	2613	-2.793	2838	-8.7627	2701	-9.4219	2240	-6.5443	2524	-5.45	2695	-16.8252	2713	8.7716	3282	-0.461	3585	1.1744	3827	9.5536	2297	24.1431	2320	-20.7813
DET:ART	132601	2079	-0.7317	2573	-0.4127	2672	-1.0385	1997	1.5458	1810	-1.2813	2626	0.3165	1837	-0.9125	2338	-1.4682	1258	-0.8893	2204	6.6155	2292	19.8928	2577	37.748	2799	2.4805	2018	-0.3718	2118	0.6285	2252	0.4955	2028	-0.3657	2095	0.9118	2359	0.9928	2017	1.7822	1898	-7.1852	2095	-2.8685	2183	-2.7136	3715	136.7085	2528	55.1016	2803	92.7624	3253	68.9268	3750	88.1506	3186	53.7853	1838	38.4808	1346	-63.9685	1415	-47.4268	2732	-24.7253	1041	-57.1898	2276	-16.5286	2213	-2.1771	2509	-0.7965	2467	-5.3403	2079	-9.009	2493	-16.7209	1947	-46.4923	1820	-78.9802	1263	-62.7471	1421	-68.7025	1905	-94.682	2450	-0.851	2838	-0.4307	2811	1.1503	2495	7.5616	2762	7.9532	3176	10.0923	2407	5.4338	2988	-0.3469	3112	-0.877	3360	4.3183	1243	-31.2169	2834	9.8681
KON	116996	1647	-7.5514	1974	-11.4585	2026	-16.9222	1575	-2.7692	1431	-8.6427	2091	-6.3078	1477	-6.15	1835	-11.8057	990	-6.1483	1804	1.0095	1753	1.7055	1786	0.5299	2317	-0.6126	1784	-0.3333	1858	0.4699	2032	1.1622	1915	2.675	1789	-0.4342	2076	0.8441	1746	0.9079	1974	1.9392	1901	-1.2234	1895	-3.5207	2254	1.7004	1818	6.0329	1707	0.7816	2191	1.5601	2613	6.0713	2297	3.7287	1179	-0.4651	2085	11.3526	1917	3.5884	3199	8.283	1648	8.3687	2133	-6.6515	1845	-6.1856	2313	0.9524	2425	0.9259	2267	5.0051	2819	6.3594	2589	8.506	2661	8.0932	1981	11.3163	2024	2.557	2781	5.0486	2256	0.8387	2494	-0.518	2296	-2.2261	1822	-3.9766	1985	-5.9959	2272	-6.5019	1976	0.6568	2476	-3.4672	2682	-1.9785	2764	-0.4006	1614	3.3951	1937	-10.4136
VER:pres	99619	1080	-44.1745	1545	-21.7232	1816	-7.9956	1142	-16.5052	1483	1.6018	1612	-17.4317	1080	-21.3985	1418	-23.6868	851	-4.7804	2075	49.0081	2034	55.5563	1949	29.7384	1911	-1.7264	1398	-3.3556	1576	0.3854	1553	-3.0358	1274	-11.6565	1230	-16.3122	1633	-2.0421	1534	2.003	1548	-1.0202	1035	-66.736	905	-113.1574	2051	6.5209	1437	1.0715	1446	0.6102	1939	3.6685	2093	1.1108	1776	-0.823	1048	0.8127	2523	127.3098	2376	100.3828	4166	231.2721	1765	51.3107	2820	68.7085	2206	27.1812	2151	7.2657	2319	11.2677	2133	17.7521	2531	12.8593	1652	-13.9116	2061	0.5494	1822	21.8603	2260	53.5671	2613	19.5659	2007	2.8657	2132	-0.41	1932	-2.6509	1568	-2.8324	1648	-7.4977	2081	-0.961	1245	-26.8986	740	-316.309	814	-320.3913	1515	-82.6898	1061	-9.2586	2006	2.3022
VER:infi	79925	1231	-1.0292	1483	-1.6419	1607	-0.8704	1087	-1.6967	1021	-3.5015	1516	-1.3376	1067	-1.7765	1424	-0.7926	795	0.489	959	-12.7434	917	-11.9909	834	-30.5545	1744	3.6491	1386	5.9372	1454	7.8704	1596	11.4503	1511	15.3281	1468	11.0004	1575	6.7689	1273	3.3432	1585	16.5298	1455	2.9504	1608	8.2233	1012	-38.9647	874	-13.8263	841	-20.9242	1225	-8.7713	1360	-12.0206	1423	-0.7802	718	-3.6833	1372	4.7011	1376	5.9661	1523	-27.7819	737	-16.0913	1362	-10.9043	1252	-4.8685	1621	1.6997	1640	0.5317	1438	0.5184	1748	-0.4025	1593	0.4133	1922	12.415	918	-13.9592	930	-28.3142	1440	-15.1125	1779	11.8398	2084	17.9101	2009	18.263	1556	7.872	1737	9.3422	2028	13.8356	1470	4.4169	2218	21.7391	2406	28.7994	1958	1.1051	817	-10.6915	942	-59.8354
ADJ	77036	1107	-3.9224	1419	-1.9026	1378	-7.9988	1146	0.7963	1012	-2.1597	1509	-0.4547	950	-5.668	1388	-0.5325	645	-4.7515	1330	7.042	1306	9.5064	1513	23.7045	1639	2.0494	1112	-1.6001	1131	-2.0759	1294	-0.3121	1284	2.8234	1328	4.6906	1431	2.368	1142	0.6123	1110	-4.0346	1271	-0.6101	1225	-3.4804	2000	49.5325	1395	21.6897	1417	20.7745	1786	25.7411	1840	11.3573	1552	4.336	928	6.6576	1142	-0.9819	1140	-0.6892	1857	-0.9426	805	-5.8985	1401	-4.7688	1276	-1.7783	1421	-1.3771	1507	-1.069	1381	0.4472	1533	-4.7227	1554	0.6572	1541	-0.7002	1038	-2.2865	1007	-13.2137	1284	-25.9412	1431	-0.5587	1566	-2.0327	1488	-2.384	1275	-0.6695	1498	1.0746	1704	1.0158	1282	0.3256	1371	-20.7132	1617	-7.7819	1854	0.5579	758	-13.5494	1717	10.5568
