Référence	ContexteGauche	Pivot	ContexteDroit
1715_Lesage_GilBlas1	de cuir qu’il ouvrit. Il y	avait	dedans cent ducats, avec une carte sur laquelle étaient écrits ces
1715_Lesage_GilBlas1	, se retira dans la ville où il	avait	pris naissance. Il y épousa une petite bourgeoise qui n’était
1715_Lesage_GilBlas1	se remit à la lecture, qu’il	avait	toujours fort négligée, et, à force de s’y appliquer
1715_Lesage_GilBlas1	couramment son bréviaire, ce qu’il n’	avait	jamais fait auparavant. Il aurait encore bien voulu m’enseigner la
1715_Lesage_GilBlas1	le pauvre Gil Perez ! il n’en	avait	de sa vie su les premiers principes ; c’était peut-être (
1715_Lesage_GilBlas1	aussi j’ai ouï dire qu’il n’	avait	pas obtenu son bénéfice par son érudition ; il le devait uniquement
1715_Lesage_GilBlas1	la reconnaissance de quelques bonnes religieuses dont il	avait	été le discret commissionnaire, et qui avaient eu le crédit de
1715_Lesage_GilBlas1	terre un chapeau renversé sur lequel il y	avait	un rosaire à gros grains, et en même temps j’entendis
1715_Lesage_GilBlas1	plus vite : la longue habitude qu’elle	avait	de marcher pas à pas sous mon oncle lui avait fait perdre
1715_Lesage_GilBlas1	marcher pas à pas sous mon oncle lui	avait	fait perdre l’usage du galop. Je ne tirai pas de
1715_Lesage_GilBlas1	qu’il aurait dû faire ; mais il	avait	songé qu’en me donnant sa mule mon voyage me coûterait moins
1715_Lesage_GilBlas1	mon voyage me coûterait moins, et il	avait	plus pensé à cela qu’aux périls que je pouvais courir en
1715_Lesage_GilBlas1	il se nommait André Corcuelo ; qu’il	avait	servi longtemps dans les armées du roi en qualité de sergent,
1715_Lesage_GilBlas1	et que, depuis quinze moins, il	avait	quitté le service pour épouser une fille de Castropol qui, bien
1715_Lesage_GilBlas1	à redire. Il assurait donc qu’elle	avait	tous les défauts du monde ; et, pour mieux me le
1715_Lesage_GilBlas1	en attestait l’hôte, qui sans doute	avait	ses raisons pour en convenir. Eh bien ! me dit froidement
1715_Lesage_GilBlas1	-là ? Après l’éloge qu’il en	avait	fait, et l’attestation du seigneur Corcuelo, que je croyais
1715_Lesage_GilBlas1	à sa bonne foi ; qu’il n’	avait	qu’à priser la bête en conscience, et que je m’
1715_Lesage_GilBlas1	entra, suivi de l’homme qui l’	avait	arrêté dans la rue. Ce cavalier portait une longue rapière,
1715_Lesage_GilBlas1	je demandai à l’hôte s’il n’	avait	pas de poisson à nous donner. Le seigneur Corcuelo, qui
1715_Lesage_GilBlas1	qu’il donna sur le poisson comme il	avait	donné sur les œufs. Il fut pourtant obligé de se rendre
1715_Lesage_GilBlas1	de peur d’accident, car il en	avait	jusqu’à la gorge. Enfin, après avoir bu et mangé
1715_Lesage_GilBlas1	pas seul avec le muletier : il y	avait	deux enfants de famille de Pegnaflor, un petit chantre de Mondognedo
1715_Lesage_GilBlas1	son stratagème produisait l’effet qu’il en	avait	attendu, alla vanter cette ruse ingénieuse à la bourgeoise, et
1715_Lesage_GilBlas1	bien valoir la question dont le muletier nous	avait	fait fête, je leur répondis que j’étais un jeune homme
1715_Lesage_GilBlas1	crainte d’être appliqué à la torture m’	avait	fait prendre la fuite. Ils firent un éclat de rire à
1715_Lesage_GilBlas1	fer pendues à la voûte. Il y	avait	une bonne provision de paille et plusieurs tonneaux remplis d’orge.
1715_Lesage_GilBlas1	à l’aise ; mais il n’y	avait	alors que les deux qui venaient d’arriver. Un vieux nègre
1715_Lesage_GilBlas1	personne de soixante et quelques années. Elle	avait	eu dans sa jeunesse les cheveux d’un blond très ardent ;
1715_Lesage_GilBlas1	très ardent ; car le temps ne les	avait	pas si bien blanchis, qu’ils n’eussent encore quelques nuances
1715_Lesage_GilBlas1	couleur. Outre un teint olivâtre, elle	avait	un menton pointu et relevé, avec des lèvres fort enfoncées ;
1715_Lesage_GilBlas1	chambres. Dans les unes, il y	avait	des pièces de toile ; dans les autres, des étoffes de
1715_Lesage_GilBlas1	à un épicier de Benavente, dont il	avait	aussi pris le mulet. Après qu’il eut rendu compte de
1715_Lesage_GilBlas1	ce bon vin que le seigneur Rolando m’	avait	vanté : j’apportai ensuite deux ragoûts, qui ne furent pas
1715_Lesage_GilBlas1	mort, c’était la señora Léonarde qui	avait	l’honneur de présenter le nectar à ces dieux infernaux, ils
1715_Lesage_GilBlas1	de raconter ses exploits guerriers ; car il	avait	longtemps porté les armes, et souvent il se vantait d’avoir
1715_Lesage_GilBlas1	, et je leur disais qu’il m’	avait	maltraité. Le pauvre diable avait beau venir me démentir, il
1715_Lesage_GilBlas1	il m’avait maltraité. Le pauvre diable	avait	beau venir me démentir, il passait pour un brutal, et
1715_Lesage_GilBlas1	le ciel à témoin qu’il ne m’	avait	pas touché. Je me défis ainsi de tous mes précepteurs,
1715_Lesage_GilBlas1	de la ville, et ma mère n’	avait	pas un naturel plus doux. Ils me fouettaient dans mon enfance
1715_Lesage_GilBlas1	brouillâmes avec un homme de justice qui nous	avait	toujours protégés. Chacun prit son parti. Pour moi, j’
1715_Lesage_GilBlas1	le moindre soupçon du tour qu’on leur	avait	joué, et jusqu’à l’âge de sept ans je fus
1715_Lesage_GilBlas1	plus, et, en mourant, elle	avait	eu l’indiscrétion d’avouer tout en présence du curé de son
1715_Lesage_GilBlas1	, poussé d’une dévotion indiscrète, il	avait	pris l’habit et fait profession dans un ordre fort austère,
1715_Lesage_GilBlas1	, et où je vis un grabat qui	avait	plus l’air d’un tombeau que d’un lit. Voilà
1715_Lesage_GilBlas1	maudis cent fois l’envie que mon oncle	avait	eue de m’envoyer à Salamanque ; je me repentis d’avoir
1715_Lesage_GilBlas1	dame Léonarde dans l’emploi qu’on lui	avait	ôté pour m’en charger. Ils me firent quitter mon habillement
1715_Lesage_GilBlas1	montais un assez bon cheval, qu’on	avait	pris au même gentilhomme dont je portais les habits. Il y
1715_Lesage_GilBlas1	dont je portais les habits. Il y	avait	si longtemps que je vivais dans les ténèbres, que le jour
1715_Lesage_GilBlas1	j’allais faire, car il n’y	avait	pas assez longtemps que j’étais avec ces brigands pour la faire
1715_Lesage_GilBlas1	, répliqua le bon religieux, qui n’	avait	garde de comprendre le vrai sens de mes paroles, que dites
1715_Lesage_GilBlas1	. Ces scélérats, et particulièrement celui qui	avait	apostasié, commencèrent à s’égayer sur la matière. Il leur
1715_Lesage_GilBlas1	à la tête des autres. Il n’	avait	pour armes que son épée et deux pistolets. Encore qu’ils
1715_Lesage_GilBlas1	à la portière du carrosse. Il y	avait	dedans une dame de vingt-quatre à vingt-cinq ans, qui lui parut
1715_Lesage_GilBlas1	ordre du capitaine, la dame qui n’	avait	point encore rappelé ses esprits, et on la mit à cheval
