Référence	ContexteGauche	Pivot	ContexteDroit
1715_Lesage_GilBlas1	que je vais te faire. Deux écoliers	allaient	ensemble de Penafiel à Salamanque. Se sentant las et altérés,
1715_Lesage_GilBlas1	chemin. Là, tandis qu’ils se	délassaient	après s’être désaltérés, ils aperçurent par hasard auprès d’eux
1715_Lesage_GilBlas1	et par les pieds des troupeaux qu’on	venait	abreuver à cette fontaine. Ils jetèrent de l’eau sur la
1715_Lesage_GilBlas1	» Le plus jeune des écoliers, qui	était	vif et étourdi, n’eut pas achevé de lire l’inscription
1715_Lesage_GilBlas1	de cuir qu’il ouvrit. Il y	avait	dedans cent ducats, avec une carte sur laquelle étaient écrits ces
1715_Lesage_GilBlas1	cent ducats, avec une carte sur laquelle	étaient	écrits ces paroles en latin : « Sois mon héritier, toi
1715_Lesage_GilBlas1	cette découverte, remit la pierre comme elle	était	auparavant, et reprit le chemin de Salamanque avec l’âme du
1715_Lesage_GilBlas1	, se retira dans la ville où il	avait	pris naissance. Il y épousa une petite bourgeoise qui n’était
1715_Lesage_GilBlas1	Il y épousa une petite bourgeoise qui n’	était	plus de sa première jeunesse, et je vins au monde dix
1715_Lesage_GilBlas1	et mon père écuyer. Comme ils n’	avaient	pour tout bien que leurs gages, j’aurais couru risque d’
1715_Lesage_GilBlas1	la ville un oncle chanoine. Il se	nommait	Gil Perez. Il était frère aîné de ma mère et mon
1715_Lesage_GilBlas1	. Il se nommait Gil Perez. Il	était	frère aîné de ma mère et mon parrain. Représentez -vous un
1715_Lesage_GilBlas1	voilà mon oncle. Au reste, c’	était	un ecclésiastique qui ne songeait qu’à bien vivre, c’est-à-dire
1715_Lesage_GilBlas1	reste, c’était un ecclésiastique qui ne	songeait	qu’à bien vivre, c’est-à-dire qu’à faire bonne chère
1715_Lesage_GilBlas1	chère ; et sa prébende, qui n’	était	pas mauvaise, lui en fournissait les moyens. Il me prit
1715_Lesage_GilBlas1	qui n’était pas mauvaise, lui en	fournissait	les moyens. Il me prit chez lui dès mon enfance,
1715_Lesage_GilBlas1	se remit à la lecture, qu’il	avait	toujours fort négligée, et, à force de s’y appliquer
1715_Lesage_GilBlas1	couramment son bréviaire, ce qu’il n’	avait	jamais fait auparavant. Il aurait encore bien voulu m’enseigner la
1715_Lesage_GilBlas1	le pauvre Gil Perez ! il n’en	avait	de sa vie su les premiers principes ; c’était peut-être (
1715_Lesage_GilBlas1	sa vie su les premiers principes ; c’	était	peut-être (car je n’avance pas cela comme un fait certain
1715_Lesage_GilBlas1	aussi j’ai ouï dire qu’il n’	avait	pas obtenu son bénéfice par son érudition ; il le devait uniquement
1715_Lesage_GilBlas1	son bénéfice par son érudition ; il le	devait	uniquement à la reconnaissance de quelques bonnes religieuses dont il avait été
1715_Lesage_GilBlas1	la reconnaissance de quelques bonnes religieuses dont il	avait	été le discret commissionnaire, et qui avaient eu le crédit de
1715_Lesage_GilBlas1	avait été le discret commissionnaire, et qui	avaient	eu le crédit de lui faire donner l’ordre de prêtrise sans
1715_Lesage_GilBlas1	m’envoya chez le docteur Godinez, qui	passait	pour le plus habile pédant d’Oviédo. Je profitai si bien
1715_Lesage_GilBlas1	qui m’apprit à raisonner beaucoup. J’	aimais	tant la dispute, que j’arrêtais les passants, connus ou
