Unité	F	f_Gilblas	score_Gilblas	f_LettresPersanes	score_LettresPersanes	f_Cleveland	score_Cleveland	f_ManonLescaut	score_ManonLescaut	f_Sethos	score_Sethos	f_Marquise	score_Marquise	f_Cabinet	score_Cabinet	f_Marianne	score_Marianne	f_Paysanne	score_Paysanne	f_Egarements	score_Egarements	f_MMeLuz	score_MMeLuz	f_Grecque	score_Grecque	f_Confessions	score_Confessions	f_Candide	score_Candide
,	121577	19718	52.8833	5569	2.2921	29027	-101.3625	4252	1.0541	10193	-266.9285	3620	-1.2518	3371	10.9891	11258	83.4101	16420	85.9268	6024	60.8306	2138	2.4887	4810	-33.4262	2445	-18.0531	2732	18.1453
le	106392	14311	-31.6541	5573	36.9067	29091	10.4805	3319	-8.3549	18048	1000.0	2238	-84.2494	2229	-16.7596	5259	-309.7126	11393	-25.483	3087	-88.5409	2093	14.5515	4866	-0.9597	2668	2.733	2217	5.1625
de	104940	15000	-3.9195	4445	-3.1452	31608	160.9208	3914	7.543	13633	63.5332	2659	-24.5251	2028	-33.1309	7150	-33.6307	10283	-90.3348	3261	-57.5438	1657	-1.7719	5387	13.4635	2230	-7.7687	1685	-13.2194
que	68502	8466	-71.0282	2784	-6.129	17601	-5.9852	2160	-4.6159	7556	-2.4272	2598	27.8407	1969	10.771	6100	27.6488	8929	26.8212	3526	48.1438	1018	-3.9275	3507	8.5394	1511	-2.8154	777	-58.0849
.	58824	10419	93.0512	2715	1.8202	16470	16.7181	2731	54.5489	6281	-7.0999	1729	-1.2901	1584	3.4021	3607	-54.5528	4090	-1000.0	2444	1.3032	1096	4.1712	2761	0.5043	1681	13.7325	1216	2.7265
je	53237	9368	78.0718	1484	-88.1383	13558	-7.4243	2365	35.3099	1013	-1000.0	2343	65.9764	1198	-3.5466	5226	65.6976	8360	169.9256	2774	41.423	308	-114.113	2967	22.8336	1754	40.3504	519	-67.7267
et	42854	5846	-9.5844	1850	-0.912	11785	6.1341	1343	-3.4967	5337	12.4735	1058	-12.9292	1079	0.5271	3773	14.7661	4809	-3.1194	1603	-2.8874	694	-0.589	1706	-11.2847	1072	1.3722	899	2.7516
il	39680	6166	6.1361	2072	13.5135	10200	-3.6852	1432	1.6109	5491	52.5997	868	-25.9433	1186	10.1315	2809	-7.2249	4723	0.9467	1068	-46.7549	799	7.4013	1632	-7.0551	498	-58.4145	736	-0.6131
à	37356	5387	-1.1301	1502	-4.3953	10942	34.301	1314	0.7611	4458	3.7403	939	-9.7943	766	-7.6992	2578	-10.315	4293	-1.0153	1244	-12.0456	529	-4.1359	1985	9.0	774	-4.3759	645	-2.2531
être	37005	5566	1.588	2181	39.0558	6896	-279.8791	1624	22.3626	2457	-209.4685	1193	1.5326	1420	55.4667	4331	156.3176	4125	-3.469	2008	39.3535	891	26.0115	2106	20.0298	1285	38.8844	922	15.11
