word	F
,	121577
de	81742
.	58824
et	42231
que	41383
à	36773
la	35763
le	30000
je	27529
il	24826
;	22513
les	22234
ne	21744
me	21716
qui	21692
en	21154
vous	19774
un	19243
qu'	18369
l'	18045
pour	16626
d'	15194
dans	15025
une	13477
pas	13303
lui	13265
elle	13135
des	12278
ce	12100
plus	11558
est	10643
du	9526
n'	9138
avec	8807
nous	8804
Je	8766
m'	8693
se	8657
si	8649
mon	8533
qu’	8194
son	8143
par	8017
l’	7732
y	7446
d’	7355
:	7216
on	7068
ma	7033
j'	6589
sa	6336
au	6224
s'	6129
sur	6053
étoit	5976
a	5974
Il	5970
cette	5764
avoit	5745
?	5732
mais	5645
ses	5596
point	5480
moi	5398
faire	5166
!	4951
sans	4940
bien	4936
tout	4936
mes	4896
n’	4880
leur	4616
ils	4593
même	4296
m’	4289
ai	4261
être	4257
était	4216
dit	4198
où	4175
comme	3980
-je	3961
fait	3829
dont	3818
avait	3812
j’	3608
tous	3287
-il	3266
encore	3259
avoir	3225
votre	3183
ces	3057
ou	3048
quelque	2839
fut	2806
s’	2686
deux	2632
autre	2573
Mais	2546
été	2501
moins	2445
peu	2445
rien	2445
aux	2375
toutes	2331
Le	2272
après	2236
fit	2217
De	2210
aussi	2205
-vous	2201
jamais	2135
voir	2126
-même	2091
suis	2075
homme	2025
avois	2008
Elle	2006
sont	1953
leurs	1928
assez	1919
c'	1906
-elle	1902
J'	1855
Madame	1799
notre	1753
trop	1751
coeur	1746
avais	1738
quelques	1685
toute	1682
jour	1647
autres	1637
avez	1631
dire	1611
La	1599
amour	1592
chez	1575
cet	1528
esprit	1526
Vous	1525
toujours	1516
tant	1505
fort	1501
c’	1481
fille	1467
dis	1461
yeux	1461
elles	1451
étoient	1450
monde	1443
ni	1431
étois	1424
ont	1422
vie	1411
cela	1403
Nous	1367
avoient	1363
nos	1362
Ce	1352
vos	1351
moment	1323
madame	1314
prendre	1308
rendre	1286
jours	1285
donc	1279
eu	1254
eût	1253
air	1243
fois	1216
temps	1205
étais	1203
peine	1203
eux	1194
personne	1174
jusqu'	1171
ceux	1169
lieu	1166
beaucoup	1162
hommes	1159
donner	1158
quand	1158
Les	1157
chose	1132
femme	1131
depuis	1116
ayant	1112
discours	1112
M	1105
peut-être	1097
êtes	1096
grand	1070
soit	1058
celui	1036
état	1032
parler	1031
tems	1030
On	1029
peut	1023
plaisir	1003
-là	999
eut	997
pris	994
ici	993
autant	992
faut	990
mieux	990
pendant	977
J’	960
maison	951
car	948
seul	947
entre	946
contre	941
Ils	927
mille	923
raison	910
fus	907
dessein	903
jeune	900
répondit	890
étant	887
alors	884
femmes	884
chambre	881
gens	881
fils	877
doute	869
lorsque	866
trouver	863
C'	858
celle	855
enfin	849
Cependant	843
là	842
fût	839
choses	826
trois	822
effet	810
maître	804
roi	804
avant	803
ciel	796
part	794
aller	792
honneur	790
abord	788
L'	786
ainsi	782
nom	782
mal	781
côté	780
quoi	778
pere	774
bonne	769
fis	768
marquis	766
reprit	765
tu	765
mort	762
bon	760
premier	760
En	759
parce	747
non	744
main	742
Que	740
pouvoit	730
bonheur	729
étaient	724
porte	722
puis	716
dès	714
sous	714
coup	708
Cette	705
force	699
don	696
Mon	694
partie	690
laquelle	684
vertu	684
mettre	677
cause	676
parut	673
nuit	669
reste	667
quel	660
seigneur	650
soin	650
parti	648
ton	646
ville	646
Et	644
heureux	644
seule	644
passer	643
Si	640
entendre	637
ailleurs	631
auroit	630
ordre	630
prince	626
vrai	624
monsieur	622
mère	621
besoin	620
lorsqu'	619
roy	618
père	617
loin	615
aime	605
épouse	605
lettre	605
plusieurs	605
grande	604
capable	600
dame	599
quelle	599
vue	599
passion	598
amitié	591
idée	590
Ah	588
vers	587
seroit	585
aurait	581
donné	581
À	579
liberté	579
douleur	578
auprès	575
te	575
faisoit	574
-ce	573
eus	571
pouvoir	570
larmes	569
fortune	568
sujet	567
Fanny	566
occasion	566
pu	561
tendresse	558
Cherès	556
fond	554
heure	554
malgré	553
-moi	547
seulement	546
servir	544
sentimens	543
amant	542
nouvelle	542
veux	542
devant	540
mains	540
Dieu	539
personnes	538
croire	536
joie	533
laisser	532
sens	531
eusse	530
cœur	529
souvent	528
belle	527
mari	527
déja	526
nature	525
Paris	524
près	518
...	517
avaient	516
ensuite	516
Un	516
attention	515
crainte	515
déjà	513
vu	508
devoir	507
pouvait	506
sera	505
conduite	504
venir	503
malheur	502
bientôt	500
mot	500
presque	500
quelquefois	500
long-tems	499
cher	496
nombre	494
répondis	493
terre	493
serait	492
vint	492
mots	491
devoit	489
trouvai	489
crois	488
secours	488
cour	485
mis	485
furent	480
recevoir	480
sorte	480
C’	478
propre	476
sort	476
goût	475
aurais	473
suivre	473
chercher	472
«	470
ait	469
prit	461
maîtresse	460
nouvelles	460
sortir	460
mêmes	458
tête	458
attendre	456
cependant	454
lendemain	453
entrer	450
mere	450
confiance	448
moindre	448
situation	448
visage	448
petit	445
fin	442
Pour	441
Après	438
mariage	438
aurois	437
doit	437
Enfin	436
ans	435
Ma	433
répondre	433
ami	432
aucun	432
aucune	432
raisons	430
comte	428
Eh	428
voilà	428
lequel	425
âge	424
réponse	424
penser	423
perdre	423
demander	422
Monsieur	422
place	422
quoique	422
sais	422
