Unité	F	f_séquence1	score_séquence1	f_séquence2	score_séquence2	f_séquence3	score_séquence3
,	2730	683	1.6465	897	-3.8653	1150	1.4255
le	2213	585	3.4316	801	0.3335	827	-2.9656
de	1685	375	-0.8889	654	2.0249	656	-1.0201
.	1214	274	-0.6033	461	1.0604	479	-0.6247
être	922	217	0.3179	330	-0.3561	375	0.3304
et	899	222	0.7169	332	0.5111	345	-0.9938
que	777	163	-1.257	274	-0.4819	340	1.4755
un	764	195	1.0409	266	-0.6146	303	-0.4783
il	736	200	2.0252	279	0.8	257	-3.0047
avoir	724	176	0.5249	248	-0.797	300	0.5042
;	695	156	-0.5431	247	-0.4002	292	0.6666
à	643	138	-0.896	243	0.7152	262	0.3353
du	587	151	0.9921	223	0.7512	213	-1.7031
je	519	91	-3.2072	159	-2.3088	269	7.0057
ce	510	113	-0.5737	192	0.6135	205	-0.3327
ne	507	108	-0.8571	172	-0.7814	227	1.5667
dire	408	78	-1.6849	117	-3.055	213	5.9884
en	372	90	0.4178	135	0.3128	147	-0.4303
qui	351	77	-0.5568	132	0.5329	142	-0.2858
vous	329	75	-0.3735	119	0.2942	135	0.3556
dans	317	81	0.6949	118	0.4489	118	-0.8909
tout	295	71	0.3777	105	-0.3409	119	-0.2976
se	288	81	1.4399	108	0.4838	99	-1.7228
Candide	284	57	-0.9969	81	-2.3833	146	3.9117
son	278	69	0.5056	89	-1.0615	120	0.705
faire	273	60	-0.5033	102	0.4548	111	0.3007
—	245	55	-0.4066	54	-5.8654	136	5.8574
on	243	56	-0.319	81	-0.69	106	0.7555
lui	231	71	2.1932	77	-0.6753	83	-1.0551
me	224	49	-0.4907	73	-0.8149	102	1.1502
«	219	40	-1.4064	89	1.0391	90	0.344
pas	214	48	-0.3966	70	-0.7726	96	0.964
:	206	44	-0.5672	76	0.3664	86	0.4184
»	196	36	-1.2765	72	0.3454	88	0.9285
au	194	32	-1.9327	83	1.5004	79	0.3
mon	187	47	0.5	77	1.07	63	-1.4807
!	186	47	0.5205	62	-0.6179	77	0.3689
nous	183	23	-3.7993	125	18.1253	35	-9.2975
pour	178	42	0.2944	70	0.6898	66	-0.705
plus	176	38	-0.498	71	0.8664	67	-0.5491
?	169	43	0.5315	41	-3.1821	85	2.2123
la|le	153	29	-0.955	64	1.0863	60	-0.39
y	152	29	-0.9237	56	0.3438	67	0.687
deux	146	31	-0.5186	74	3.6769	41	-2.9188
mais	130	26	-0.6821	47	0.2786	57	0.6129
elle	128	39	1.3937	32	-2.3092	57	0.7005
avec	126	24	-0.8396	45	-0.2959	57	0.7973
sur	125	24	-0.8077	47	0.4041	54	0.5261
par	122	30	0.3822	43	-0.3334	49	-0.2926
si	122	18	-1.9054	51	0.9531	53	0.5496
pouvoir	120	34	0.9086	38	-0.743	48	-0.3047
bien	119	30	0.4483	38	-0.7018	51	0.4805
Cunégonde	118	36	1.3321	34	-1.2315	48	0.2853
voir	117	24	-0.5744	39	-0.5194	54	0.9056
@card@	106	30	0.8469	32	-0.916	44	0.345
leur	106	20	-0.796	53	2.6418	33	-1.5285
homme	104	24	-0.2832	33	-0.6861	47	0.7222
Martin	104	0	-12.0728	14	-6.6722	90	21.5978
Pangloss	95	43	5.6284	12	-6.5987	40	0.3852
autre	95	21	-0.3607	33	-0.359	41	0.4771
