Unité	F	f_chapitre 01	score_chapitre 01	f_chapitre 02	score_chapitre 02	f_chapitre 03	score_chapitre 03	f_chapitre 04	score_chapitre 04	f_chapitre 05	score_chapitre 05	f_chapitre  06	score_chapitre  06	f_chapitre 07	score_chapitre 07	f_chapitre 08	score_chapitre 08	f_chapitre 09	score_chapitre 09	f_chapitre 10	score_chapitre 10	f_chapitre 11	score_chapitre 11	f_chapitre 12	score_chapitre 12	f_chapitre 13	score_chapitre 13	f_chapitre 14	score_chapitre 14	f_chapitre 15	score_chapitre 15	f_chapitre 16	score_chapitre 16	f_chapitre 17	score_chapitre 17	f_chapitre 18	score_chapitre 18	f_chapitre 19	score_chapitre 19	f_chapitre 20	score_chapitre 20	f_chapitre 21	score_chapitre 21	f_chapitre 22	score_chapitre 22	f_chapitre 23	score_chapitre 23	f_chapitre 24	score_chapitre 24	f_chapitre 25	score_chapitre 25	f_chapitre 26	score_chapitre 26	f_chapitre 27	score_chapitre 27	f_chapitre 28	score_chapitre 28	f_chapitre 29	score_chapitre 29	f_chapitre 30	score_chapitre 30
NOM	5963	167	2.074	149	0.4412	148	0.629	216	1.2717	197	1.9653	79	0.6188	115	-0.8233	199	0.5503	93	-0.5205	96	-2.0364	237	2.1907	215	-0.8514	132	-0.5994	241	2.1437	133	0.4542	245	1.1084	241	1.3187	357	1.1234	294	-0.8982	150	-0.365	72	-4.264	622	-0.4294	64	-2.3049	283	-0.5308	297	-1.9781	185	-1.3366	220	-0.7913	176	0.7346	63	-0.5195	277	-0.7204
PUN	4032	92	-0.3927	120	1.948	96	0.3456	135	0.4018	117	0.3923	53	0.5033	85	-0.2867	128	-0.326	74	0.7485	81	0.2944	116	-1.6249	157	0.3299	80	-1.2258	139	-0.3344	90	0.418	138	-0.9405	140	-0.5665	191	-2.1783	178	-2.2055	90	-1.0469	107	4.5029	458	1.354	51	-0.7312	191	-0.4831	231	0.4189	161	1.4656	154	-0.4257	102	-0.7465	46	0.3011	231	2.2738
PRP	3688	82	-0.4963	74	-1.366	100	1.1544	103	-1.3347	111	0.5808	44	-0.3316	70	-0.7332	134	1.1538	59	-0.3593	77	0.4334	157	2.617	164	1.5085	86	-0.2938	119	-0.7096	70	-0.8551	134	-0.4725	143	0.6209	228	1.2729	193	-0.2936	87	-0.641	46	-2.4711	384	-0.4067	55	0.3918	193	0.7742	196	-0.6696	114	-1.0143	141	-0.4115	111	0.7302	37	-0.6057	176	-0.4043
PRO:PER	3564	53	-3.9987	98	0.9738	81	-0.3851	109	-0.608	89	-0.9542	31	-1.6525	95	1.9373	150	3.4337	55	-0.4782	75	0.463	117	-0.4655	188	5.1676	84	0.3047	99	-2.1315	94	1.6059	132	-0.3674	105	-2.0638	196	-0.3679	213	1.6363	79	-1.0212	84	2.1585	350	-1.1634	44	-0.7922	168	-0.4989	180	-1.1834	141	1.2407	142	0.3566	131	3.2885	45	0.6181	136	-3.0753
DET:ART	2830	94	3.3229	68	-0.3033	72	0.6027	101	0.7224	103	2.2591	42	0.9408	61	0.3398	84	-0.6105	52	0.6463	50	-0.7097	86	-0.868	97	-0.9378	91	2.8467	114	1.2198	61	-0.2749	90	-1.3507	117	1.0459	148	-0.6755	145	-0.3923	74	0.3572	37	-1.6926	287	-0.6263	34	-0.8065	143	0.449	155	-0.4091	89	-0.7619	85	-2.4049	76	-0.3763	40	1.0596	134	-0.4242
ADV	2320	48	-0.7041	61	0.5594	64	0.9974	78	0.3823	57	-0.8423	22	-0.9119	47	-0.3808	58	-1.6292	34	-0.5694	48	0.3663	81	0.3594	79	-0.8844	50	-0.5281	58	-2.49	39	-1.2504	88	0.3027	83	-0.3516	128	-0.3307	123	0.3358	67	0.7801	50	0.9588	240	-0.4206	45	1.5835	106	-0.6123	184	5.8927	74	-0.6213	94	0.4084	65	0.3211	24	-0.4306	125	0.8807
VER:pres	2005	25	-3.7044	58	1.0159	22	-4.6463	69	0.4611	61	0.5234	12	-2.4951	59	2.1537	40	-3.2997	41	1.0322	42	0.392	44	-3.1684	48	-3.8929	30	-2.3772	80	0.9301	37	-0.738	87	1.0052	64	-0.8543	125	0.9743	91	-1.1042	58	0.7384	64	5.0903	242	1.8426	38	1.2891	115	1.3616	151	3.8334	97	3.1656	84	0.5481	32	-3.5382	13	-1.7589	76	-2.0118
KON	1937	48	0.4265	40	-0.7904	43	-0.4061	54	-0.912	55	0.2899	26	0.4637	40	-0.3191	63	0.3242	32	0.2835	42	0.494	65	-0.3267	64	-0.9798	53	0.8603	59	-0.8167	36	-0.6993	76	0.4199	68	-0.4068	124	1.21	101	-0.2978	61	1.2483	29	-0.7636	192	-0.743	30	0.4412	97	0.3747	124	1.1544	65	-0.3821	71	-0.5285	58	0.5447	21	-0.3224	100	0.5355
ADJ	1707	52	1.4486	29	-1.6345	45	0.6418	64	0.8461	46	-0.3995	24	0.5644	39	0.4787	46	-0.9166	39	1.5815	40	0.7599	57	-0.3353	45	-2.5201	35	-0.6315	67	0.7608	39	0.4211	53	-1.1271	63	0.3109	86	-0.7648	93	0.4388	49	0.6545	42	1.5694	181	0.311	28	0.5821	88	0.4937	107	0.8957	44	-1.7153	56	-1.0589	44	-0.4604	23	0.6507	83	-0.2876
SENT	1569	32	-0.6368	38	-0.2696	29	-0.9798	56	0.574	38	-0.7482	15	-0.7122	46	1.769	45	-0.6147	27	0.3595	38	0.8741	45	-0.9097	43	-2.0589	36	-0.3088	79	3.1118	36	0.4249	62	0.4278	53	-0.5199	74	-1.1656	95	1.0935	41	0.3306	29	0.3268	160	-0.4754	34	1.9131	81	0.4889	81	-0.6346	45	-1.0023	95	4.6571	34	-1.114	16	-0.4058	66	-0.9473
